Name                                                                            Stmts   Miss   Cover   Missing
ciris_engine/schemas/processors/dma.py                                             53      9  83.02%   44, 48-55
ciris_engine/protocols/services/adaptation/self_configuration.py                    6      1  83.33%   16
ciris_engine/schemas/services/nodes.py                                            229     37  83.84%   83-102, 135, 186, 192, 249-267, 280-297, 349-374, 387-389, 573-606, 622-625, 668-671
ciris_engine/logic/adapters/api/api_memory.py                                     172     25  85.47%   61, 68, 70, 72, 102, 104, 138, 142, 152, 154, 184, 207-209, 218, 228, 251-253, 266, 281, 288, 290, 334-339
ciris_engine/logic/persistence/db/migration_runner.py                              28      4  85.71%   43-46
ciris_engine/logic/utils/constants.py                                              21      3  85.71%   20-22
ciris_engine/schemas/dma/core.py                                                  108     15  86.11%   62-65, 70-72, 77, 86-93, 98-100
ciris_engine/logic/conscience/registry.py                                          24      3  87.50%   38, 44-45
ciris_engine/schemas/runtime/messages.py                                           32      4  87.50%   25, 34-36
ciris_engine/schemas/services/resources_core.py                                   122     15  87.70%   127-133, 137-141, 146, 151, 156
ciris_engine/logic/services/governance/visibility.py                              162     19  88.27%   109-110, 120-121, 141, 192, 221-225, 234-235, 296-300, 338, 346-347
ciris_engine/logic/services/governance/wise_authority.py                          131     15  88.55%   73, 120, 134, 209, 275-277, 284, 303, 312-313, 361-363, 388
ciris_engine/logic/runtime/component_builder.py                                    70      7  90.00%   49, 52, 95, 121, 205, 222, 224
ciris_engine/logic/services/graph/incident_service.py                             234     20  91.45%   69, 118, 125-127, 138-139, 159-160, 184, 204, 210, 334, 359, 378, 404, 470, 476, 522, 527
ciris_engine/logic/services/lifecycle/initialization.py                           129     11  91.47%   96, 152, 176-184, 193, 223-224
ciris_engine/schemas/adapters/registration.py                                      15      1  93.33%   35
ciris_engine/logic/services/graph/config_service.py                                98      6  93.88%   69, 90-91, 104, 145, 196
ciris_engine/schemas/services/core/__init__.py                                     84      5  94.05%   12, 62-78, 83
ciris_engine/schemas/processors/core.py                                            48      2  95.83%   52, 68
ciris_engine/logic/services/lifecycle/time.py                                      26      1  96.15%   60
ciris_engine/schemas/runtime/contexts.py                                           30      1  96.67%   14
ciris_engine/logic/services/infrastructure/resource_monitor.py                    129      4  96.90%   86, 94, 149, 163
ciris_engine/schemas/actions/parameters.py                                         58      1  98.28%   98
ciris_engine/schemas/services/authority_core.py                                   174      3  98.28%   75-76, 87
ciris_engine/schemas/runtime/enums.py                                              89      1  98.88%   17
ciris_engine/__init__.py                                                            4      0 100.00%
ciris_engine/logic/__init__.py                                                      0      0 100.00%
ciris_engine/logic/adapters/api/__init__.py                                         2      0 100.00%
ciris_engine/logic/adapters/cli/__init__.py                                         2      0 100.00%
ciris_engine/logic/audit/__init__.py                                                4      0 100.00%
ciris_engine/logic/buses/__init__.py                                                9      0 100.00%
ciris_engine/logic/config/__init__.py                                               5      0 100.00%
ciris_engine/logic/conscience/__init__.py                                           5      0 100.00%
ciris_engine/logic/conscience/build_deferral_package.py                             0      0 100.00%
